exp-id,threshold,example-id,tp,fn,tn,fp,generalizations,exemplars
1,0.65,1,0,5,5,0,0,1
1,0.65,2,0,5,5,0,0,2
1,0.65,3,2,3,5,0,1,1
1,0.65,4,2,3,5,0,1,2
1,0.65,5,0,5,5,0,1,2
1,0.65,6,3,2,1,4,1,2
1,0.65,7,4,1,1,4,2,1
1,0.65,8,5,0,1,4,2,1
1,0.65,9,5,0,2,3,2,1
1,0.65,10,2,3,5,0,2,1
1,0.65,11,2,3,5,0,2,1
1,0.65,12,2,3,5,0,2,1
1,0.65,13,2,3,5,0,2,1
1,0.65,14,2,3,5,0,2,1
1,0.65,15,2,3,5,0,2,1
1,0.65,16,2,3,5,0,2,1
1,0.65,17,2,3,5,0,2,1
1,0.65,18,2,3,5,0,2,1
1,0.65,19,2,3,5,0,2,1
1,0.65,20,2,3,5,0,2,1
2,0.65,1,0,5,5,0,0,1
2,0.65,2,0,5,5,0,0,2
2,0.65,3,0,5,5,0,0,3
2,0.65,4,0,5,5,0,0,4
2,0.65,5,0,5,5,0,1,3
2,0.65,6,0,5,5,0,2,2
2,0.65,7,1,4,5,0,3,1
2,0.65,8,1,4,5,0,3,1
2,0.65,9,1,4,5,0,3,1
2,0.65,10,2,3,5,0,4,0
2,0.65,11,2,3,5,0,4,0
2,0.65,12,2,3,5,0,4,0
2,0.65,13,2,3,5,0,4,0
2,0.65,14,3,2,5,0,4,0
2,0.65,15,3,2,5,0,4,0
2,0.65,16,5,0,5,0,4,0
2,0.65,17,5,0,5,0,4,0
2,0.65,18,5,0,5,0,4,0
2,0.65,19,5,0,5,0,4,0
2,0.65,20,5,0,5,0,4,0
3,0.65,1,0,5,5,0,0,1
3,0.65,2,1,4,5,0,1,0
3,0.65,3,1,4,5,0,1,1
3,0.65,4,1,4,5,0,1,2
3,0.65,5,1,4,5,0,1,3
3,0.65,6,2,3,5,0,2,2
3,0.65,7,1,4,5,0,2,2
3,0.65,8,1,4,5,0,2,2
3,0.65,9,2,3,5,0,2,2
3,0.65,10,3,2,5,0,3,1
3,0.65,11,3,2,5,0,3,1
3,0.65,12,2,3,5,0,3,1
3,0.65,13,2,3,5,0,4,0
3,0.65,14,3,2,5,0,4,0
3,0.65,15,3,2,5,0,4,0
3,0.65,16,3,2,5,0,4,0
3,0.65,17,3,2,5,0,4,0
3,0.65,18,5,0,5,0,4,0
3,0.65,19,5,0,5,0,4,0
3,0.65,20,5,0,5,0,4,0
4,0.65,1,1,4,5,0,0,1
4,0.65,2,1,4,5,0,0,2
4,0.65,3,1,4,5,0,1,1
4,0.65,4,0,5,5,0,1,1
4,0.65,5,1,4,5,0,1,1
4,0.65,6,1,4,5,0,1,2
4,0.65,7,2,3,5,0,2,1
4,0.65,8,2,3,5,0,2,1
4,0.65,9,2,3,5,0,2,2
4,0.65,10,2,3,5,0,2,2
4,0.65,11,3,2,5,0,3,1
4,0.65,12,3,2,5,0,3,1
4,0.65,13,3,2,5,0,3,1
4,0.65,14,3,2,5,0,3,1
4,0.65,15,3,2,5,0,3,1
4,0.65,16,3,2,5,0,3,1
4,0.65,17,3,2,5,0,3,1
4,0.65,18,3,2,5,0,3,1
4,0.65,19,3,2,5,0,3,1
4,0.65,20,3,2,5,0,3,1
5,0.65,1,0,5,5,0,0,1
5,0.65,2,0,5,5,0,0,2
5,0.65,3,0,5,5,0,0,3
5,0.65,4,1,4,5,0,1,2
5,0.65,5,0,5,5,0,1,2
5,0.65,6,1,4,5,0,1,2
5,0.65,7,2,3,0,5,1,2
5,0.65,8,1,4,5,0,1,2
5,0.65,9,3,2,5,0,2,1
5,0.65,10,3,2,5,0,2,1
5,0.65,11,2,3,4,1,2,1
5,0.65,12,3,2,5,0,2,1
5,0.65,13,3,2,5,0,2,1
5,0.65,14,3,2,5,0,2,1
5,0.65,15,3,2,5,0,2,1
5,0.65,16,3,2,5,0,2,1
5,0.65,17,3,2,5,0,2,1
5,0.65,18,3,2,5,0,2,1
5,0.65,19,3,2,5,0,3,0
5,0.65,20,4,1,1,4,3,0
6,0.65,1,0,5,5,0,0,1
6,0.65,2,0,5,5,0,0,2
6,0.65,3,1,4,5,0,1,1
6,0.65,4,1,4,5,0,1,2
6,0.65,5,1,4,5,0,1,3
6,0.65,6,1,4,5,0,2,2
6,0.65,7,1,4,5,0,2,2
6,0.65,8,2,3,5,0,3,1
6,0.65,9,1,4,5,0,3,1
6,0.65,10,0,5,5,0,3,1
6,0.65,11,1,4,5,0,3,1
6,0.65,12,1,4,5,0,4,0
6,0.65,13,1,4,5,0,4,0
6,0.65,14,1,4,5,0,4,0
6,0.65,15,1,4,5,0,4,0
6,0.65,16,1,4,5,0,4,0
6,0.65,17,2,3,5,0,4,0
6,0.65,18,2,3,5,0,4,0
6,0.65,19,3,2,5,0,4,0
6,0.65,20,4,1,5,0,4,0
7,0.65,1,0,5,5,0,0,1
7,0.65,2,0,5,5,0,0,2
7,0.65,3,1,4,5,0,1,1
7,0.65,4,1,4,5,0,1,2
7,0.65,5,1,4,5,0,1,3
7,0.65,6,2,3,5,0,2,2
7,0.65,7,4,1,5,0,3,1
7,0.65,8,3,2,5,0,3,1
7,0.65,9,2,3,5,0,3,1
7,0.65,10,3,2,5,0,4,0
7,0.65,11,4,1,5,0,4,0
7,0.65,12,5,0,5,0,4,0
7,0.65,13,5,0,5,0,4,0
7,0.65,14,5,0,5,0,4,0
7,0.65,15,5,0,5,0,4,0
7,0.65,16,5,0,5,0,4,0
7,0.65,17,5,0,5,0,4,0
7,0.65,18,5,0,5,0,4,0
7,0.65,19,5,0,5,0,4,0
7,0.65,20,5,0,5,0,4,0
8,0.65,1,0,5,5,0,0,1
8,0.65,2,0,5,5,0,0,2
8,0.65,3,0,5,5,0,0,3
8,0.65,4,1,4,5,0,1,2
8,0.65,5,2,3,5,0,2,1
8,0.65,6,2,3,5,0,2,2
8,0.65,7,1,4,5,0,2,2
8,0.65,8,2,3,5,0,3,1
8,0.65,9,3,2,5,0,3,1
8,0.65,10,3,2,5,0,3,1
8,0.65,11,2,3,5,0,3,1
8,0.65,12,2,3,5,0,3,1
8,0.65,13,2,3,5,0,3,1
8,0.65,14,2,3,5,0,3,1
8,0.65,15,3,2,5,0,3,1
8,0.65,16,3,2,5,0,3,1
8,0.65,17,5,0,5,0,4,0
8,0.65,18,5,0,5,0,4,0
8,0.65,19,5,0,5,0,4,0
8,0.65,20,3,2,5,0,4,0
9,0.65,1,0,5,5,0,0,1
9,0.65,2,0,5,5,0,0,2
9,0.65,3,0,5,5,0,0,3
9,0.65,4,1,4,5,0,1,2
9,0.65,5,2,3,5,0,2,1
9,0.65,6,4,1,5,0,3,0
9,0.65,7,3,2,5,0,3,0
9,0.65,8,3,2,5,0,3,0
9,0.65,9,3,2,5,0,3,0
9,0.65,10,4,1,5,0,3,0
9,0.65,11,4,1,5,0,3,1
9,0.65,12,4,1,5,0,4,0
9,0.65,13,4,1,5,0,4,0
9,0.65,14,2,3,5,0,4,0
9,0.65,15,2,3,5,0,4,0
9,0.65,16,4,1,5,0,4,0
9,0.65,17,4,1,5,0,4,0
9,0.65,18,4,1,5,0,4,0
9,0.65,19,5,0,5,0,4,0
9,0.65,20,5,0,5,0,4,0
10,0.65,1,0,5,5,0,0,1
10,0.65,2,0,5,5,0,0,2
10,0.65,3,0,5,5,0,0,3
10,0.65,4,0,5,5,0,0,4
10,0.65,5,1,4,5,0,1,3
10,0.65,6,2,3,5,0,2,2
10,0.65,7,2,3,5,0,2,2
10,0.65,8,4,1,5,0,3,1
10,0.65,9,4,1,5,0,3,1
10,0.65,10,4,1,5,0,3,1
10,0.65,11,3,2,5,0,3,1
10,0.65,12,1,4,5,0,3,1
10,0.65,13,2,3,5,0,3,1
10,0.65,14,4,1,5,0,3,1
10,0.65,15,4,1,5,0,3,1
10,0.65,16,4,1,5,0,3,1
10,0.65,17,4,1,5,0,3,1
10,0.65,18,4,1,5,0,3,1
10,0.65,19,4,1,5,0,3,1
10,0.65,20,4,1,5,0,3,1
